,adhyaya,pada,sutra num,sutra
0,1.0,1.1,1.1.1,वृद्धिरादैच्
1,1.0,1.1,1.1.2,अदेङ् गुणः
2,1.0,1.1,1.1.3,इको गुणवृद्धी
3,1.0,1.1,1.1.4,न धातुलोप आर्धधातुके
4,1.0,1.1,1.1.5,क्क्ङिति च
5,1.0,1.1,1.1.6,दीधीवेवीटाम्
6,1.0,1.1,1.1.7,हलोऽनन्तराः संयोगः
7,1.0,1.1,1.1.8,मुखनासिकावचनोऽनुनासिकः
8,1.0,1.1,1.1.9,तुल्यास्यप्रयत्नं सवर्णम्
9,1.0,1.1,1.1.10,नाज्झलौ
10,1.0,1.1,1.1.11,ईदूदेद्द्विवचनं प्रगृह्यम्
11,1.0,1.1,1.1.12,अदसो मात्
12,1.0,1.1,1.1.13,शे
13,1.0,1.1,1.1.14,निपात एकाजनाङ्
14,1.0,1.1,1.1.15,ओत्
15,1.0,1.1,1.1.16,सम्बुद्धौ शाकल्यस्येतावनार्षे
16,1.0,1.1,1.1.17,उञः
17,1.0,1.1,1.1.18,ऊँ
18,1.0,1.1,1.1.19,ईदूतौ च सप्तम्यर्थे
19,1.0,1.1,1.1.20,दाधा घ्वदाप्
20,1.0,1.1,1.1.21,आद्यन्तवदेकस्मिन्
21,1.0,1.1,1.1.22,तरप्तमपौ घः
22,1.0,1.1,1.1.23,बहुगणवतुडति संख्या
23,1.0,1.1,1.1.24,ष्णान्ता षट्
24,1.0,1.1,1.1.25,डति च
25,1.0,1.1,1.1.26,क्तक्तवतू निष्ठा
26,1.0,1.1,1.1.27,सर्वादीनि सर्वनामानि
27,1.0,1.1,1.1.28,विभाषा दिक्समासे बहुव्रीहौ
28,1.0,1.1,1.1.29,न बहुव्रीहौ
29,1.0,1.1,1.1.30,तृतीयासमासे
30,1.0,1.1,1.1.31,द्वन्द्वे च
31,1.0,1.1,1.1.32,विभाषा जसि
32,1.0,1.1,1.1.33,प्रथमचरमतयाल्पार्धकतिपयनेमाश्च
33,1.0,1.1,1.1.34,पूर्वपरावरदक्षिणोत्तरापराधराणि
34,1.0,1.1,1.1.35,स्वमज्ञातिधनाख्यायाम्
35,1.0,1.1,1.1.36,अन्तरं बहिर्योगोपसंव्यानयोः
36,1.0,1.1,1.1.37,स्वरादिनिपातमव्ययम्
37,1.0,1.1,1.1.38,तद्धितश्चासर्वविभक्तिः
38,1.0,1.1,1.1.39,कृन्मेजन्तः
39,1.0,1.1,1.1.40,क्त्वातोसुन्कसुनः
40,1.0,1.1,1.1.41,अव्ययीभावश्च
41,1.0,1.1,1.1.42,शि सर्वनामस्थानम्
42,1.0,1.1,1.1.43,सुडनपुंसकस्य
43,1.0,1.1,1.1.44,न वेति विभाषा
44,1.0,1.1,1.1.45,इग्यणः सम्प्रसारणम्
45,1.0,1.1,1.1.46,आद्यन्तौ टकितौ
46,1.0,1.1,1.1.47,मिदचोऽन्त्यात्परः
47,1.0,1.1,1.1.48,एच इग्घ्रस्वादेशे
48,1.0,1.1,1.1.49,षष्ठी स्थानेयोगा
49,1.0,1.1,1.1.50,स्थानेऽन्तरतमः
50,1.0,1.1,1.1.51,उरँण् रपरः
51,1.0,1.1,1.1.52,अलोऽन्त्यस्य
52,1.0,1.1,1.1.53,ङिच्च
53,1.0,1.1,1.1.54,आदेः परस्य
54,1.0,1.1,1.1.55,अनेकाल्शित्सर्वस्य
55,1.0,1.1,1.1.56,स्थानिवदादेशोऽनल्विधौ
56,1.0,1.1,1.1.57,अचः परस्मिन् पूर्वविधौ
57,1.0,1.1,1.1.58,न पदान्तद्विर्वचनवरेयलोपस्वरसवर्णानुस्वारदीर्घजश्चर्विधिषु
58,1.0,1.1,1.1.59,द्विर्वचनेऽचि
59,1.0,1.1,1.1.60,अदर्शनं लोपः
60,1.0,1.1,1.1.61,प्रत्ययस्य लुक्‌श्लुलुपः
61,1.0,1.1,1.1.62,प्रत्ययलोपे प्रत्ययलक्षणम्
62,1.0,1.1,1.1.63,न लुमताऽङ्गस्य
63,1.0,1.1,1.1.64,अचोऽन्त्यादि टि
64,1.0,1.1,1.1.65,अलोऽन्त्यात् पूर्व उपधा
65,1.0,1.1,1.1.66,तस्मिन्निति निर्दिष्टे पूर्वस्य
66,1.0,1.1,1.1.67,तस्मादित्युत्तरस्य
67,1.0,1.1,1.1.68,स्वं रूपं शब्दस्याशब्दसंज्ञा
68,1.0,1.1,1.1.69,अणुदित् सवर्णस्य चाप्रत्ययः
69,1.0,1.1,1.1.70,तपरस्तत्कालस्य
70,1.0,1.1,1.1.71,आदिरन्त्येन सहेता
71,1.0,1.1,1.1.72,येन विधिस्तदन्तस्य
72,1.0,1.1,1.1.73,वृद्धिर्यस्याचामादिस्तद् वृद्धम्
73,1.0,1.1,1.1.74,त्यदादीनि च
74,1.0,1.1,1.1.75,एङ् प्राचां देशे
75,1.0,1.2,1.2.1,गाङ्कुटादिभ्योऽञ्णिन्ङित्
76,1.0,1.2,1.2.2,विज इट्
77,1.0,1.2,1.2.3,विभाषोर्णोः
78,1.0,1.2,1.2.4,सार्वधातुकमपित्
79,1.0,1.2,1.2.5,असंयोगाल्लिट् कित्
80,1.0,1.2,1.2.6,ईन्धिभवतिभ्यां च
81,1.0,1.2,1.2.7,मृडमृदगुधकुषक्लिशवदवसः क्त्वा
82,1.0,1.2,1.2.8,रुदविदमुषग्रहिस्वपिप्रच्छः सँश्च
83,1.0,1.2,1.2.9,इको झल्
84,1.0,1.2,1.2.10,हलन्ताच्च
85,1.0,1.2,1.2.11,लिङ्सिचावात्मनेपदेषु
86,1.0,1.2,1.2.12,उश्च
87,1.0,1.2,1.2.13,वा गमः
88,1.0,1.2,1.2.14,हनः सिच्
89,1.0,1.2,1.2.15,यमो गन्धने
90,1.0,1.2,1.2.16,विभाषोपयमने
91,1.0,1.2,1.2.17,स्था घ्वोरिच्च
92,1.0,1.2,1.2.18,न क्त्वा सेट्
93,1.0,1.2,1.2.19,निष्ठा शीङ्स्विदिमिदिक्ष्विदिधृषः
