,adhyaya,pada,sutra num,sutra,count
0,1.0,1.1,1.1.1,वृद्धिरादैच्,0
1,1.0,1.1,1.1.2,अदेङ् गुणः,0
2,1.0,1.1,1.1.3,इको गुणवृद्धी,0
3,1.0,1.1,1.1.4,न धातुलोप आर्धधातुके,0
4,1.0,1.1,1.1.5,क्क्ङिति च,0
5,1.0,1.1,1.1.6,दीधीवेवीटाम्,0
6,1.0,1.1,1.1.7,हलोऽनन्तराः संयोगः,0
7,1.0,1.1,1.1.8,मुखनासिकावचनोऽनुनासिकः,0
8,1.0,1.1,1.1.9,तुल्यास्यप्रयत्नं सवर्णम्,0
9,1.0,1.1,1.1.10,नाज्झलौ,0
10,1.0,1.1,1.1.11,ईदूदेद्द्विवचनं प्रगृह्यम्,0
11,1.0,1.1,1.1.12,अदसो मात्,0
12,1.0,1.1,1.1.13,शे,0
13,1.0,1.1,1.1.14,निपात एकाजनाङ्,0
14,1.0,1.1,1.1.15,ओत्,0
15,1.0,1.1,1.1.16,सम्बुद्धौ शाकल्यस्येतावनार्षे,0
16,1.0,1.1,1.1.17,उञः,0
17,1.0,1.1,1.1.18,ऊँ,0
18,1.0,1.1,1.1.19,ईदूतौ च सप्तम्यर्थे,0
19,1.0,1.1,1.1.20,दाधा घ्वदाप्,0
20,1.0,1.1,1.1.21,आद्यन्तवदेकस्मिन्,0
21,1.0,1.1,1.1.22,तरप्तमपौ घः,0
22,1.0,1.1,1.1.23,बहुगणवतुडति संख्या,0
23,1.0,1.1,1.1.24,ष्णान्ता षट्,0
24,1.0,1.1,1.1.25,डति च,0
25,1.0,1.1,1.1.26,क्तक्तवतू निष्ठा,0
26,1.0,1.1,1.1.27,सर्वादीनि सर्वनामानि,0
27,1.0,1.1,1.1.28,विभाषा दिक्समासे बहुव्रीहौ,1
28,1.0,1.1,1.1.29,न बहुव्रीहौ,0
29,1.0,1.1,1.1.30,तृतीयासमासे,0
30,1.0,1.1,1.1.31,द्वन्द्वे च,0
31,1.0,1.1,1.1.32,विभाषा जसि,1
32,1.0,1.1,1.1.33,प्रथमचरमतयाल्पार्धकतिपयनेमाश्च,0
33,1.0,1.1,1.1.34,पूर्वपरावरदक्षिणोत्तरापराधराणि,0
34,1.0,1.1,1.1.35,स्वमज्ञातिधनाख्यायाम्,0
35,1.0,1.1,1.1.36,अन्तरं बहिर्योगोपसंव्यानयोः,0
36,1.0,1.1,1.1.37,स्वरादिनिपातमव्ययम्,0
37,1.0,1.1,1.1.38,तद्धितश्चासर्वविभक्तिः,0
38,1.0,1.1,1.1.39,कृन्मेजन्तः,0
39,1.0,1.1,1.1.40,क्त्वातोसुन्कसुनः,0
40,1.0,1.1,1.1.41,अव्ययीभावश्च,0
41,1.0,1.1,1.1.42,शि सर्वनामस्थानम्,0
42,1.0,1.1,1.1.43,सुडनपुंसकस्य,0
43,1.0,1.1,1.1.44,न वेति विभाषा,1
44,1.0,1.1,1.1.45,इग्यणः सम्प्रसारणम्,0
45,1.0,1.1,1.1.46,आद्यन्तौ टकितौ,0
46,1.0,1.1,1.1.47,मिदचोऽन्त्यात्परः,0
47,1.0,1.1,1.1.48,एच इग्घ्रस्वादेशे,0
