DATE,PRCP,SNOW,SNWD,TMAX,TMIN
2007,45.91,0.1,0.0,28473.0,20206.0
2008,15.98,0.0,0.0,30076.0,19821.0
2009,34.11,0.0,0.0,29781.0,20408.0
2010,28.419999999999998,0.3,0.0,29159.0,19999.0
2011,16.9,0.6,0.0,30515.0,20313.0
2012,35.14,0.0,0.0,30096.0,20871.0
2013,37.04,0.0,0.0,29395.0,20140.0
2014,29.47,0.0,0.0,28946.0,19970.0
2015,58.29,0.0,0.0,28926.0,20532.0
2016,53.86,0.0,0.0,29754.0,21233.0
2017,41.52,1.3,1.2,30235.0,21403.0
2018,35.910000000000004,0.0,0.0,29463.0,20928.0
2019,29.09,0.0,0.0,29604.0,20840.0
2020,37.86,0.0,0.0,30082.0,20924.0
2021,40.42,7.799999999999999,20.0,29187.0,20458.0
2022,23.82,0.2,0.0,28492.0,19379.0
